DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,SEATS,DISTANCE,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,AIRCRAFT_TYPE,YEAR,MONTH,DISTANCE_GROUP
0,1,50,328,9E,Endeavor Air Inc.,14492,RDU,"Raleigh/Durham, NC",NC,14122,PIT,"Pittsburgh, PA",PA,629,2017,2,1
0,1,50,571,9E,Endeavor Air Inc.,14492,RDU,"Raleigh/Durham, NC",NC,14696,SBN,"South Bend, IN",IN,629,2017,2,2
0,1,177,2354,AS,Alaska Airlines Inc.,14492,RDU,"Raleigh/Durham, NC",NC,14747,SEA,"Seattle, WA",WA,634,2017,2,5
0,1,181,2354,AS,Alaska Airlines Inc.,14747,SEA,"Seattle, WA",WA,14492,RDU,"Raleigh/Durham, NC",NC,634,2017,2,5
0,1,50,646,AX,Trans States Airlines,13930,ORD,"Chicago, IL",IL,14492,RDU,"Raleigh/Durham, NC",NC,675,2017,2,2
0,1,50,120,AX,Trans States Airlines,14492,RDU,"Raleigh/Durham, NC",NC,14574,ROA,"Roanoke, VA",VA,675,2017,2,1
0,1,180,226,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",GA,11057,CLT,"Charlotte, NC",NC,622,2017,2,1
0,1,180,226,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",GA,11057,CLT,"Charlotte, NC",NC,888,2017,2,1
0,1,72,226,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",GA,11057,CLT,"Charlotte, NC",NC,622,2017,2,1
0,1,160,306,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",GA,11995,GSO,"Greensboro/High Point, NC",NC,656,2017,2,1
0,1,180,226,DL,Delta Air Lines Inc.,11057,CLT,"Charlotte, NC",NC,10397,ATL,"Atlanta, GA",GA,622,2017,2,1
0,1,180,226,DL,Delta Air Lines Inc.,11057,CLT,"Charlotte, NC",NC,10397,ATL,"Atlanta, GA",GA,888,2017,2,1
0,1,72,226,DL,Delta Air Lines Inc.,11057,CLT,"Charlotte, NC",NC,10397,ATL,"Atlanta, GA",GA,622,2017,2,1
0,1,72,728,DL,Delta Air Lines Inc.,11057,CLT,"Charlotte, NC",NC,10721,BOS,"Boston, MA",MA,622,2017,2,2
0,1,199,500,DL,Delta Air Lines Inc.,11057,CLT,"Charlotte, NC",NC,11433,DTW,"Detroit, MI",MI,622,2017,2,2
0,1,72,529,DL,Delta Air Lines Inc.,11057,CLT,"Charlotte, NC",NC,11618,EWR,"Newark, NJ",NJ,622,2017,2,2
0,1,72,468,DL,Delta Air Lines Inc.,11057,CLT,"Charlotte, NC",NC,13204,MCO,"Orlando, FL",FL,622,2017,2,1
0,2,144,531,DL,Delta Air Lines Inc.,11057,CLT,"Charlotte, NC",NC,14275,PTK,"Pontiac, MI",MI,622,2017,2,2
0,1,72,1727,DL,Delta Air Lines Inc.,11057,CLT,"Charlotte, NC",NC,14869,SLC,"Salt Lake City, UT",UT,622,2017,2,4
0,1,199,500,DL,Delta Air Lines Inc.,11433,DTW,"Detroit, MI",MI,11057,CLT,"Charlotte, NC",NC,622,2017,2,2
0,1,199,501,DL,Delta Air Lines Inc.,11433,DTW,"Detroit, MI",MI,14492,RDU,"Raleigh/Durham, NC",NC,622,2017,2,2
0,2,144,529,DL,Delta Air Lines Inc.,11618,EWR,"Newark, NJ",NJ,11057,CLT,"Charlotte, NC",NC,622,2017,2,2
0,1,160,306,DL,Delta Air Lines Inc.,11995,GSO,"Greensboro/High Point, NC",NC,10397,ATL,"Atlanta, GA",GA,656,2017,2,1
0,2,144,427,DL,Delta Air Lines Inc.,12339,IND,"Indianapolis, IN",IN,11057,CLT,"Charlotte, NC",NC,622,2017,2,1
0,1,72,468,DL,Delta Air Lines Inc.,13204,MCO,"Orlando, FL",FL,11057,CLT,"Charlotte, NC",NC,622,2017,2,1
0,1,110,700,DL,Delta Air Lines Inc.,13303,MIA,"Miami, FL",FL,14492,RDU,"Raleigh/Durham, NC",NC,608,2017,2,2
0,1,72,449,DL,Delta Air Lines Inc.,14100,PHL,"Philadelphia, PA",PA,11057,CLT,"Charlotte, NC",NC,622,2017,2,1
0,1,199,501,DL,Delta Air Lines Inc.,14492,RDU,"Raleigh/Durham, NC",NC,11433,DTW,"Detroit, MI",MI,622,2017,2,2
0,1,110,431,DL,Delta Air Lines Inc.,14492,RDU,"Raleigh/Durham, NC",NC,12953,LGA,"New York, NY",NY,608,2017,2,1
0,1,149,431,DL,Delta Air Lines Inc.,14492,RDU,"Raleigh/Durham, NC",NC,12953,LGA,"New York, NY",NY,655,2017,2,1
0,1,72,1727,DL,Delta Air Lines Inc.,14869,SLC,"Salt Lake City, UT",UT,11057,CLT,"Charlotte, NC",NC,622,2017,2,4
0,1,149,625,DL,Delta Air Lines Inc.,14986,SRQ,"Sarasota/Bradenton, FL",FL,14492,RDU,"Raleigh/Durham, NC",NC,655,2017,2,2
0,1,76,446,MQ,Envoy Air,10693,BNA,"Nashville, TN",TN,11641,FAY,"Fayetteville, NC",NC,673,2017,2,1
